Laptop_Brand,CPU_Brand,CPU_Sub_Series,RAM,Screen_Size,Resolution,Panel_Type,Touchscreen,GPU_Brand,SSD,HDD,Weight,Price
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,256,1000,2.3,1099.99
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,1149.0
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,512,1000,2.3,1131.99
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,1000,0,2.3,1129.99
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,1000,1000,2.3,1139.99
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,1000,2000,2.3,1164.99
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,2000,0,2.3,1260.99
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,2000,2000,2.3,1489.0
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,1399.99
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,512,1000,2.3,1479.99
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,1000,0,2.3,1199.0
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,1000,1000,2.3,1319.99
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,512,0,2.3,1039.99
Acer,Intel,Core_i5,32,15.6,1920 x 1080,IPS,0,NVIDIA,1000,0,2.3,1095.0
Acer,Intel,Core_i5,64,15.6,1920 x 1080,IPS,0,NVIDIA,1000,1000,2.3,1489.99
Acer,Intel,Core_i5,8,14.0,1920 x 1080,IPS,0,Intel,256,0,1.19,679.0
Acer,Intel,Core_i5,8,14.0,1920 x 1080,IPS,0,Intel,512,0,0.99,1169.99
Acer,Intel,Core_i5,8,14.0,1920 x 1080,IPS,1,Intel,256,0,1.5,629.0
Acer,Intel,Core_i5,8,14.0,1920 x 1080,IPS,1,Intel,512,0,1.5,699.0
Acer,Intel,Core_i5,8,14.0,1920 x 1080,IPS,1,Intel,1000,0,1.5,779.99
Acer,Intel,Core_i5,8,15.6,1366 x 768,TN,0,Intel,256,0,1.8,609.99
Acer,Intel,Core_i5,8,15.6,1366 x 768,TN,0,Intel,1000,0,1.8,919.99
Acer,Intel,Core_i5,8,15.6,1366 x 768,TN,0,Intel,256,0,1.9,899.97
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,Intel,128,0,1.8,749.99
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,Intel,256,0,1.8,659.99
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,Intel,512,0,1.8,649.99
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,Intel,512,1000,1.8,699.99
Acer,Intel,Core_i5,8,15.6,1920 x 1080,IPS,0,Intel,1000,0,1.8,719.0
Acer,Intel,Core_i5,8,15.6,1920 x 1080,TN,0,Intel,256,0,1.8,699.99
Acer,Intel,Core_i5,8,15.6,1920 x 1080,TN,0,Intel,256,0,1.9,669.99
Acer,Intel,Core_i5,8,15.6,1920 x 1080,TN,0,Intel,512,0,1.9,609.0
Acer,Intel,Core_i5,8,17.3,1600 x 900,TN,0,Intel,0,1000,2.7,679.99
Acer,Intel,Core_i5,8,17.3,1600 x 900,TN,0,Intel,128,1000,2.7,699.0
Acer,Intel,Core_i5,8,17.3,1600 x 900,TN,0,Intel,256,0,2.7,639.99
Acer,Intel,Core_i5,8,17.3,1600 x 900,TN,0,Intel,0,1000,2.7,609.99
Acer,Intel,Core_i5,8,17.3,1600 x 900,TN,0,Intel,128,1000,2.7,619.0
Acer,Intel,Core_i5,8,17.3,1600 x 900,TN,0,Intel,256,0,2.7,629.99
Acer,Intel,Core_i5,8,17.3,1600 x 900,TN,0,Intel,256,1000,2.7,699.0
Acer,Intel,Core_i5,8,17.3,1600 x 900,TN,0,Intel,512,0,2.7,719.0
Acer,Intel,Core_i5,8,17.3,1600 x 900,TN,0,Intel,512,1000,2.7,689.99
Acer,Intel,Core_i5,8,17.3,1600 x 900,TN,0,Intel,1000,0,2.7,819.0
